drawdown_trigger,vix_min,fwd_days,ticker,n,mean,median,win_rate,outperf_rate_vs_spx,spx_mean,spx_median,spx_win_rate
-0.15,25.0,126,ECH,18.0,0.1899809084066666,0.17730331162856627,0.9444444444444444,0.5555555555555556,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,EIDO,11.0,0.12138284608636835,0.05074068454002223,0.8181818181818182,0.5,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,EPU,13.0,0.2339215368775554,0.24660773194709318,1.0,0.75,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,EWW,18.0,0.20928044019520248,0.20117512578061025,0.8333333333333334,0.7777777777777778,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,EWZ,18.0,0.2573699461520491,0.22580658042783042,0.8333333333333334,0.7222222222222222,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,INDA,8.0,0.04987888781432087,0.0523308239571455,0.75,0.42857142857142855,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,KSA,8.0,0.043092085955022716,0.006661251544150537,0.5,0.2857142857142857,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,QAT,8.0,0.04271262841020243,0.019435534266621812,0.5,0.14285714285714285,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,UAE,8.0,0.024500762386209143,-0.00319760489199461,0.5,0.0,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,126,VNM,12.0,0.05817118815521367,0.05181499772155174,0.5833333333333334,0.18181818181818182,0.12113303851069447,0.0929497176928602,0.7222222222222222
-0.15,25.0,252,ECH,17.0,0.3061035918024838,0.3143698277169076,0.8235294117647058,0.6470588235294118,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,EIDO,10.0,0.17620577350652517,0.15976895231704769,0.9,0.2222222222222222,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,EPU,12.0,0.2855088195817658,0.31391394100023606,1.0,0.7272727272727273,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,EWW,17.0,0.3344272654939215,0.3680367829578408,0.8823529411764706,0.7647058823529411,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,EWZ,17.0,0.3494967737933479,0.19831735016347452,0.8235294117647058,0.6470588235294118,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,INDA,7.0,0.1781526629395648,0.07256497758314384,1.0,0.3333333333333333,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,KSA,7.0,0.13838396202163655,0.061599435176637796,0.5714285714285714,0.3333333333333333,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,QAT,7.0,0.020129433940754456,-0.03217208599645838,0.2857142857142857,0.0,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,UAE,7.0,0.07949467031131661,0.0046045542267940665,0.5714285714285714,0.16666666666666666,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.15,25.0,252,VNM,11.0,0.03945778377919984,-0.01641532527156897,0.45454545454545453,0.1,0.17123851025696074,0.18574225782581988,0.8823529411764706
-0.2,25.0,63,ECH,12.0,0.0954299312523737,0.12456701251978908,0.8333333333333334,0.5833333333333334,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,EIDO,8.0,0.055431724605838964,0.06746731361333236,0.75,0.42857142857142855,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,EPU,8.0,0.09970244581758436,0.11416845234931605,0.875,0.5714285714285714,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,EWW,12.0,0.03444291066117333,0.041179175323883044,0.5833333333333334,0.5833333333333334,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,EWZ,12.0,0.08550289725786096,0.10534138408962246,0.75,0.5833333333333334,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,INDA,4.0,-0.0008809718417493728,0.028395658224625198,0.5,0.3333333333333333,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,KSA,4.0,0.025227445564614093,-0.037814507322292024,0.25,0.3333333333333333,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,QAT,4.0,0.03782217572262281,0.02039482392867986,0.75,0.3333333333333333,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,UAE,4.0,0.001019767641761704,-0.019725172675232105,0.25,0.0,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,63,VNM,8.0,0.020871774317510833,-0.014188388486686798,0.375,0.2857142857142857,0.04239491398791612,0.04017203089989552,0.75
-0.2,25.0,126,ECH,12.0,0.17798904997338608,0.15811637217856045,0.9166666666666666,0.5,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,EIDO,8.0,0.08898142205709626,0.02399207953750171,0.625,0.14285714285714285,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,EPU,8.0,0.21226819846673695,0.204033350081126,1.0,0.7142857142857143,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,EWW,12.0,0.17102874131708323,0.21332390291320413,0.8333333333333334,0.6666666666666666,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,EWZ,12.0,0.1879009010020649,0.16023971245280855,0.75,0.4166666666666667,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,INDA,4.0,0.03751029559372707,-0.0054999900056914575,0.5,0.6666666666666666,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,KSA,4.0,0.008499314883465309,-0.10399912033113934,0.25,0.3333333333333333,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,QAT,4.0,0.03316698095196727,-0.01263448989232474,0.5,0.0,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,UAE,4.0,-0.01898557624578165,-0.07573381468489115,0.25,0.0,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,126,VNM,8.0,0.039632614805858,0.00976055467974457,0.75,0.14285714285714285,0.11248160235470127,0.09562826586358375,0.9166666666666666
-0.2,25.0,252,ECH,12.0,0.32343782676458566,0.20526183125626885,0.9166666666666666,0.5,0.2219896664494918,0.19144530726337128,0.9166666666666666
-0.2,25.0,252,EIDO,8.0,0.18090855032680644,0.11719959774868938,0.75,0.14285714285714285,0.2219896664494918,0.19144530726337128,0.9166666666666666
-0.2,25.0,252,EPU,8.0,0.26029662147209204,0.2559068969839525,1.0,0.42857142857142855,0.2219896664494918,0.19144530726337128,0.9166666666666666
-0.2,25.0,252,EWW,12.0,0.37403585795676536,0.3301827171570626,0.9166666666666666,0.75,0.2219896664494918,0.19144530726337128,0.9166666666666666
