,ECH,EIDO,EPU,EWW,EWZ,INDA,KSA,QAT,UAE,VNM
2014-06-30,-0.018541115169810718,-0.027033238870403542,0.025970718599357623,0.02734723768977676,0.04823612642453723,0.04730196104370554,,-0.19521184751932608,-0.19031338170758527,0.026147049007807732
2014-07-31,-0.041216538128886815,0.0515540768816114,0.014340349849205625,0.008553394558381111,0.015068847083755665,0.0006725098513555849,,0.1313500859248593,0.15971252324354568,0.006249859408359315
2014-08-31,-0.0032183659164057854,0.03640963301767619,0.007487374709256089,0.049568756452759155,0.1072169190172243,0.04301082809438639,,0.030744251751714913,0.002481249732583235,0.10367905167450675
2014-09-30,-0.01660505475976448,-0.05321753390517081,-0.05652454920627936,-0.04249097811976754,-0.19087538625837752,-0.024484656030553165,,0.02982746581652318,0.008250611929994767,-0.05194812062641829
2014-11-30,-0.022983245538230612,-0.0021760195569779928,0.008154799069918228,-0.0455806273331375,-0.03214619386880735,0.0031359171001523745,,-0.0035555856710997036,-0.006098322833657632,-0.04351925063745277
2014-12-31,-0.04104758652389917,0.0004884051216711427,-0.03804989333728237,-0.08251044320300516,-0.11522952340504733,-0.06005759399799182,,-0.07176113187679167,-0.12354601923633568,-0.03332299298243124
2015-01-31,-0.044622759626092634,-0.030247994559029157,-0.06883614347508504,-0.05287100608240192,-0.06179939057421091,0.07178619138603004,,-0.039281349771993934,-0.04776748175888512,-0.048386748705797955
2015-02-28,0.08396744506591891,0.03645282043951381,0.0033602973919490964,0.07040011520651368,0.031186506189550434,0.04267934213878766,,0.0622008526069302,0.06052333639497287,0.07326387552412683
2015-03-31,-0.024691256396056627,0.006163807543648536,-0.04688545267977373,-0.03736930116813497,-0.11334074278192818,-0.04421873739439108,,-0.04700050684431911,-0.07043698432793466,-0.14009197615678315
2015-04-30,0.04790278121123759,-0.10774788686391323,0.07413915808855553,0.011387167534768983,0.154287190331025,-0.0812752683467286,,0.04189911621408737,0.18692496364086275,0.06812841975784001
2015-05-31,-0.02273820034648144,0.03836826911701463,-0.033039106624463854,-0.001876550817651701,-0.10880971241788984,0.0394689785606559,,-0.008161937344182135,-0.05843681428407188,-0.018857454582171362
2015-06-30,-0.06268199375818118,-0.08706357628014283,-0.006356884888884973,-0.01697264867638726,0.0341667929299474,-0.00533164223809468,,-0.020923336097374734,0.014166082859822904,0.0537022559463205
2015-07-31,-0.06295900812066724,-0.027190332011825413,-0.07647510164138316,-0.013482723889129189,-0.124504152545862,0.026767898104422372,,-0.039435955642743714,0.026091238637692138,-0.014484673970045603
2015-08-31,-0.0193168960360669,-0.11579408122784063,-0.13962096997004003,-0.06194529781148117,-0.1327990254238096,-0.09591237428107446,,0.004128422232807516,-0.08850882193017151,-0.11377238273834189
2015-09-30,-0.05909231483317834,-0.11239321291613213,-0.04359096551845165,-0.024408634296935516,-0.11776515860898251,0.017087868711715526,,-0.035723964543041165,-0.054720808903778395,-0.04914026163501295
2015-11-30,-0.07022071544317587,0.013399656789161885,-0.06108619094392409,-0.02065043640191877,-0.01530389408516386,-0.035814689739151584,0.005608822622374721,-0.13213616088488644,-0.06323619829159455,-0.08254701532506292
2015-12-31,-0.012497270523143311,0.024011561830982187,-0.057091353140143686,-0.05640271051696433,-0.07151013559936148,0.008866419012210747,-0.034704149334076395,0.023466568732527282,-0.002322744310106706,-0.013026504364825997
